Position,Const,Created,Modified,Description,Name,Known For,Birth Date
12,nm0000059,2012-11-15,2013-06-29,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 11 (1 for Directing)
BAFTA Awards: 2
BAFTA Nominations: 10
Golden Globes: 2
Golden Globe Nominations: 5

Greatest Performances:

""Hamlet"" - Level of Difficulty - 5 Stars
""Rebecca"" - Level of Difficulty - 4.8 Stars                    
""Spartacus"" - Level of Difficulty - 4.8 Stars",Laurence Olivier,Sleuth,1907-05-22
13,nm0000493,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 8
BAFTA Awards: 2
BAFTA Nominations: 8
Golden Globes: 4
Golden Globe Nominations: 22

Greatest Performances:

""Mister Roberts"" - Level of Difficulty - 4.5 Stars
""Save the Tiger"" - Level of Difficulty - 4.7 Stars                    
""Some Like It Hot"" - Level of Difficulty - 4.6 Stars",Jack Lemmon,The Apartment,1925-02-08
14,nm0000323,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations: 

Oscars: 2
Oscar Nominations: 6
BAFTA Awards: 1
BAFTA Nominations: 8
Golden Globes: 3
Golden Globe Nominations: 12

Greatest Performances:

""Educated Rita"" - Level of Difficulty - 4.8 Stars
""The Cider House Rules"" - Level of Difficulty - 4.7 Stars
""Hannah and Her Sisters"" - Level of Difficulty - 4.6 Stars",Michael Caine,The Dark Knight,1933-03-14
15,nm0000071,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.9 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 3

Greatest Performances: 

""It's a Wonderful Life"" - Level of Difficulty - 4.6 Stars
""A Philadelphia Story"" - Level of Difficulty - 4.7 Stars
""Mr. Smith…...Washington"" - Level of Difficulty - 4.7 Stars",James Stewart,Anatomy of a Murder,1908-05-20
16,nm0000245,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 4
Golden Globe Nominations: 10

Greatest Performances: 

""The Fisher King"" - Level of Difficulty - 4.8 Stars
""Good Will Hunting"" - Level of Difficulty - 4.7 Stars
""Dead Poets Society"" - Level of Difficulty - 4.7 Stars",Robin Williams,Mrs. Doubtfire,1951-07-21
17,nm0000380,2012-11-15,2015-02-24,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 7
BAFTA Awards: 1
BAFTA Nominations: 3
Golden Globes: 4
Golden Globe Nominations: 7

Greatest Performances:

""The Apostle"" - Level of Difficulty - 4.8 Stars                  
""Tender Mercies"" - Level of Difficulty - 4.6 Stars
""Lonesome Dove"" - Level of Difficulty - 4.7 Stars",Robert Duvall,The Apostle,1931-01-05
18,nm0000576,2012-11-15,2013-06-29,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 3
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances: 

""Milk"" - Level of Difficulty - 5 Stars
""I Am Sam"" - Level of Difficulty - 5 Stars
""Mystic River"" - Level of Difficulty - 5 Stars",Sean Penn,Mystic River,1960-08-17
19,nm0000151,2012-11-15,2015-03-14,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances:

""Glory"" - Level of Difficulty - 4.6 Stars                  
""Million Dollar Baby' - Level of Difficulty - 4.7 Stars
""The Shawshank Redemption"" - Level of Difficulty - 4.6 Stars",Morgan Freeman,Invictus,1937-06-01
20,nm0000313,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 6
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 4

Greatest Performances: 

""Starman"" - Level of Difficulty - 4.6 Stars
""True Grit"" - Level of Difficulty - 4.7 Stars
""Crazy Heart"" - Level of Difficulty - 5 Stars",Jeff Bridges,The Big Lebowski,1949-12-04
21,nm0001627,2013-06-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 6
Golden Globes: 1
Golden Globe Nominations: 7

Greatest Performances: 

""Lilies of the Field"" - Level of Difficulty - 4.7 Stars
""The Defiant Ones"" - Level of Difficulty - 4.6 Stars
""In the Heat of the Night"" - Level of Difficulty - 4.6 Stars",Sidney Poitier,In the Heat of the Night,1927-02-20
22,nm0000564,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 8
BAFTA Awards: 1
BAFTA Nominations: 4
Golden Globes: 4
Golden Globe Nominations: 11

Greatest Performances: 

""Becket"" - Level of Difficulty - 4.7 Stars
""The Lion in Winter"" - Level of Difficulty - 4.7 Stars
""Lawrence of Arabia"" - Level of Difficulty - 4.8 Stars",Peter O'Toole,Lawrence of Arabia,1932-08-02
23,nm0000142,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.5 Stars 
Overall Versatility - 4.3 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 2 (Directing)
Oscar Nominations: 7 (6 for Directing)
BAFTA Awards: 0
BAFTA Nominations: 3 (Directing)
Golden Globes: 3 (Directing) 
Golden Globe Nominations: 12 (Directing)

Greatest Performances: 

""Unforgiven"" - Level of Difficulty - 4.4 Stars
""Million Dollar Baby"" - Level of Difficulty - 4.5 Stars
""The Good, the Bad, and the Ugly"" - Level of Difficulty - 4.4 Stars",Clint Eastwood,Million Dollar Baby,1930-05-31
24,nm0000432,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.9 Stars

Awards & Nominations: 

Oscars: 2
Oscar Nominations: 5
BAFTA Awards: 3
BAFTA Nominations: 7
Golden Globes: 3
Golden Globe Nominations: 8

Greatest Performances:

""Unforgiven"" - Level of Difficulty - 4.6 Stars
""Mississippi Burning"" - Level of Difficulty - 4.7 Stars                  
""The French Connection"" - Level of Difficulty - 4.7 Stars",Gene Hackman,The French Connection,1930-01-30
25,nm0000122,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 1 (Music)
Oscar Nominations: 4 (3 for Music/Writing)
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""City Lights"" - Level of Difficulty - 4.8 Stars
""Modern Times"" - Level of Difficulty - 4.7 Stars
""The Great Dictator"" - Level of Difficulty - 4.9 Stars",Charles Chaplin,The Great Dictator,1889-04-16
26,nm0001426,2012-11-15,2016-01-02,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 2
BAFTA Nominations: 4
Golden Globes: 2
Golden Globe Nominations: 8

Greatest Performances: 

""Gandhi"" - Level of Difficulty - 5 Stars
""Sexy Beast"" - Level of Difficulty - 4.6 Stars
""House of Sand and Fog"" - Level of Difficulty - 4.7 Stars",Ben Kingsley,Sexy Beast,1943-12-31
27,nm0000450,2012-11-15,2013-11-01,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 5 Stars
Role Transformation - 5 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 1
BAFTA Nominations: 5
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances: 

""Capote"" - Level of Difficulty - 5 Stars
""Doubt"" - Level of Difficulty - 4.8 Stars
""The Master"" - Level of Difficulty - 4.8 Stars",Philip Seymour Hoffman,The Master,1967-07-23
28,nm0000138,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 4.9 Stars 
Overall Versatility - 5 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 6 (1 for Producing)
BAFTA Awards: 1
BAFTA Nominations: 4
Golden Globes: 2
Golden Globe Nominations: 11

Greatest Performances: 

""The Revenant"" - Level of Difficulty - 4.9 Stars
""The Wolf of Wall Street"" - Level of Difficulty - 4.7 Stars
""What's Eating Gilbert Grape"" - Level of Difficulty - 5 Stars",Leonardo DiCaprio,Inception,1974-11-11
29,nm0000128,2012-11-25,2017-05-14,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.9 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 1
BAFTA Nominations: 3
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances: 

""Gladiator"" - Level of Difficulty - 5 Stars
""The Insider"" - Level of Difficulty - 4.8 Stars
""A Beautiful Mind"" - Level of Difficulty - 4.8 Stars",Russell Crowe,Les Misérables,1964-04-07
30,nm0000228,2012-11-15,2017-05-14,"Acting Abilities: 

Acting Skill - 5 Stars 
Overall Versatility - 4.9 Stars
Role Transformation - 4.8 Stars

Awards & Nominations: 

Oscars: 2
Oscar Nominations: 2
BAFTA Awards: 1
BAFTA Nominations: 3
Golden Globes: 1
Golden Globe Nominations: 8

Greatest Performances: 

""Se7en"" - Level of Difficulty - 4.8 Stars
""American Beauty"" - Level of Difficulty - 5 Stars
""The Usual Suspects"" - Level of Difficulty - 4.8 Stars",Kevin Spacey,The Usual Suspects,1959-07-26
31,nm0000007,2012-11-15,2014-06-24,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""Casablanca"" - Level of Difficulty - 4.6 Stars
""The Caine Mutiny"" - Level of Difficulty - 4.6 Stars
""The African Queen"" - Level of Difficulty - 4.7 Stars",Humphrey Bogart,Casablanca,1899-12-25
32,nm0000060,2012-11-15,2014-06-24,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.7 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 3
Golden Globe Nominations: 6

Greatest Performances: 

""To Kill a Mockingbird"" - Level of Difficulty - 4.6 Stars
""The Boys from Brazil"" - Level of Difficulty - 4.7 Stars
""Gentleman's Agreement"" - Level of Difficulty - 4.6 Stars",Gregory Peck,To Kill a Mockingbird,1916-04-05
33,nm0000022,2012-11-15,2013-08-27,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 2

Greatest Performances: 

""Gone with the Wind"" - Level of Difficulty - 4.4 Stars
""Mutiny on the Bounty"" - Level of Difficulty - 4.2 Stars
""It Happened One Night"" - Level of Difficulty - 4.6 Stars",Clark Gable,It Happened One Night,1901-02-01
34,nm0000011,2013-04-12,2014-06-24,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 5
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 1
Golden Globe Nominations: 2

Greatest Performances: 

""High Noon"" - Level of Difficulty - 4.7 Stars
""Sergeant York"" - Level of Difficulty - 4.7 Stars
""Mr. Deeds Goes to Town"" - Level of Difficulty - 4.6 Stars",Gary Cooper,High Noon,1901-05-07
35,nm0001715,2012-11-15,2013-08-27,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 3
Golden Globes: 2
Golden Globe Nominations: 5

Greatest Performances: 

""Patton"" - Level of Difficulty - 4.6 Stars
""The Hustler"" - Level of Difficulty - 4.7 Stars
""The Hospital"" - Level of Difficulty - 4.8 Stars",George C. Scott,Patton,1927-10-18
36,nm0001673,2012-11-15,2013-07-01,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations: 

Oscars: 2
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 5

Greatest Performances: 

""Julia"" - Level of Difficulty - 4.8 Stars
""Melvin and Howard"" - Level of Difficulty - 4.7 Stars
""All the President's Men"" - Level of Difficulty - 4.6 Stars",Jason Robards,All the President's Men,1922-07-26
37,nm0001452,2016-05-31,2016-06-22,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 1

Greatest Performances:

""Mutiny on the Bounty"" - Level of Difficulty - 4.6 Stars
""Witness for the Prosecution"" - Level of Difficulty - 4.7 Stars
""The Private Life of Henry VIII"" - Level of Difficulty - 4.8 Stars",Charles Laughton,Witness for the Prosecution,1899-07-01
38,nm0000063,2016-06-23,2016-07-21,"Acting Abilities: 

Acting Skill - 4.8 Stars 
Overall Versatility - 4.8 Stars
Role Transformation - 4.9 Stars

Awards & Nominations:

Oscars: 2
Oscar Nominations: 4
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 5

Greatest Performances: 

""Lust for Life"" - Level of Difficulty - 4.7 Stars
""Viva Zapata!"" - Level of Difficulty - 4.9 Stars
""Alexis Zorbas"" - Level of Difficulty - 4.8 Stars",Anthony Quinn,Alexis Zorbas,1915-04-21
39,nm0000634,2013-10-30,2013-10-30,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.7 Stars
Role Transformation - 4.8 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 3
BAFTA Awards: 1
BAFTA Nominations: 4
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances: 

""Being There"" - Level of Difficulty - 4.7 Stars
""The Running, Jumping & Standing Still Film"" - Level of Difficulty - 4.6 Stars
""Doctor Strangelove or: How I Learned to Stop Worrying and Love the Bomb"" - Level of Difficulty - 4.8 Stars",Peter Sellers,Being There,1925-09-08
40,nm0000010,2013-04-12,2014-06-24,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""Love Me or Leave Me"" - Level of Difficulty - 4.6 Stars
""Yankee Doodle Dandy"" - Level of Difficulty - 4.8 Stars
""Angles with Dirty Faces"" - Level of Difficulty - 4.8 Stars",James Cagney,Angels with Dirty Faces,1899-07-17
41,nm0002075,2012-11-15,2013-07-01,"Acting Abilities: 

Acting Skill - 4.7 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 2
BAFTA Awards: 5
BAFTA Nominations: 7
Golden Globes: 1
Golden Globe Nominations: 2

Greatest Performances: 

""Network"" - Level of Difficulty - 4.8 Stars
""Sunday Bloody Sunday - Level of Difficulty - 4.6 Stars
""The Flight of the Phoenix"" - Level of Difficulty - 4.6 Stars",Peter Finch,Network,1916-09-28
42,nm0000020,2012-11-15,2013-07-16,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 1
BAFTA Nominations: 2
Golden Globes: 1
Golden Globe Nominations: 2

Greatest Performances: 

""12 Angry Men"" - Level of Difficulty - 4.7 Stars
""On Golden Pond"" - Level of Difficulty - 4.6 Stars
""The Grapes of Wrath"" - Level of Difficulty - 4.6 Stars",Henry Fonda,12 Angry Men,1905-05-16
43,nm0000026,2013-04-12,2013-07-08,"Acting Abilities: 

Acting Skill - 4.5 Stars 
Overall Versatility - 4.3 Stars
Role Transformation - 4.5 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 2
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 0
Golden Globe Nominations: 4

Greatest Performances: 

""Charade"" - Level of Difficulty - 4.4 Stars
""Penny Serenade"" - Level of Difficulty - 4.4 Stars
""Not But the Lonely Heart"" - Level of Difficulty - 4.5 Stars",Cary Grant,Charade,1904-01-18
44,nm0000009,2013-07-08,2013-11-01,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 7
BAFTA Awards: 2
BAFTA Nominations: 4
Golden Globes: 2
Golden Globe Nominations: 7

Greatest Performances: 

""Equus"" - Level of Difficulty - 4.6 Stars
""My Cousin Rachel"" - Level of Difficulty - 4.7 Stars
""Who's Afraid of Virginia Woolf?"" - Level of Difficulty - 4.6 Stars",Richard Burton,Who's Afraid of Virginia Woolf?,1925-11-10
45,nm0000044,2013-06-29,2013-08-27,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.5 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 4
BAFTA Awards: 2
BAFTA Nominations: 4
Golden Globes: 1
Golden Globe Nominations: 5

Greatest Performances: 

""Atlantic City"" - Level of Difficulty - 4.6 Stars 
""Elmer Gantry"" - Level of Difficulty - 4.8 Stars
""From Here to Eternity"" - Level of Difficulty - 4.6 Stars",Burt Lancaster,From Here to Eternity,1913-11-02
46,nm0000034,2013-10-30,2013-11-01,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 2
Golden Globes: 0
Golden Globe Nominations: 0

Greatest Performances: 

""Network"" - Level of Difficulty - 4.7 Stars
""Stalag 17"" - Level of Difficulty - 4.6 Stars
""Sunset Blvd."" - Level of Difficulty - 4.6 Stars",William Holden,Stalag 17,1918-04-17
47,nm0000078,2012-11-15,2014-06-24,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.4 Stars
Role Transformation - 4.7 Stars

Awards & Nominations:

Oscars: 1
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 0
Golden Globes: 1
Golden Globe Nominations: 1

Greatest Performances: 

""True Grit"" - Level of Difficulty - 4.7 Stars
""The Alamo"" - Level of Difficulty - 4.7 Stars
""Sands of Iwo Jima"" - Level of Difficulty - 4.6 Stars",John Wayne,True Grit,1907-05-26
48,nm0000018,2012-11-15,2013-07-02,"Acting Abilities: 

Acting Skill - 4.5 Stars 
Overall Versatility - 4.4 Stars
Role Transformation - 4.6 Stars

Awards & Nominations:

Oscars: 0
Oscar Nominations: 3
BAFTA Awards: 0
BAFTA Nominations: 1
Golden Globes: 1
Golden Globe Nominations: 3

Greatest Performances: 

""Champion"" - Level of Difficulty - 4.5 Stars
""Lust for Life"" - Level of Difficulty - 4.7 Stars
""The Bad and the Beautiful"" - Level of Difficulty - 4.5 Stars",Kirk Douglas,Spartacus,1916-12-09
49,nm0000027,2012-11-15,2016-06-02,"Acting Abilities: 

Acting Skill - 4.6 Stars 
Overall Versatility - 4.6 Stars
Role Transformation - 4.6 Stars

Awards & Nominations: 

Oscars: 1
Oscar Nominations: 5
BAFTA Awards: 3
BAFTA Nominations: 7
Golden Globes: 1
Golden Globe Nominations: 3

Greatest Performances: 

""Star Wars"" - Level of Difficulty - 4.2 Stars
""Little Dorrit"" - Level of Difficulty - 4.6 Stars
""The Bridge on the River Kwai"" - Level of Difficulty - 4.7 Stars",Alec Guinness,Star Wars,1914-04-02
