Position,Const,Created,Modified,Description,Name,Known For,Birth Date
11,nm0000320,2010-10-12,2012-07-27,"[b]Recommended Viewing:[/b] [link=tt0020530][red]Un Chien andalou[/red][/link] (1929), [link=tt0021577][red]L'Âge d'or[/red][/link] (1930), [link=tt0023037][red]Land Without Bread[/red][/link] (1933), [link=tt0042804][red]Los Olvidados[/red][/link] (1950), [link=tt0044386]Adventures of Robinson Crusoe[/link] (1952), [link=tt0044453]The Brute[/link] (1953), [link=tt0045361]El[/link] (1953), [link=tt0048037]The Criminal Life of Archibaldo de la Cruz[/link] (1955), [link=tt0049521]Death in the Garden[/link] (1956), [link=tt0051983]Nazarin[/link] (1959), [link=tt0053967]The Young One[/link] (1960), [link=tt0055601][red]Viridiana[/red][/link] (1961), [link=tt0056732][red]The Exterminating Angel[/red][/link] (1962), [link=tt0058249]Diary of a Chambermaid[/link] (1964), [link=tt0059719]Simon of the Desert[/link] (1965), [link=tt0061395][red]Belle de jour[/red][/link] (1967), [link=tt0066534]The Milky Way[/link] (1969), [link=tt0066491]Tristana[/link] (1970), [link=tt0068361][red]The Discreet Charm of the Bourgeoisie[/red][/link] (1972), [link=tt0071487][red]The Phantom of Liberty[/red][/link] (1974), [link=tt0075824]That Obscure Object of Desire[/link] (1977)",Luis Buñuel,Belle de jour,1900-02-22
12,nm0000005,2010-10-12,2012-08-03,"[b]Recommended Viewing:[/b] [link=tt0045848]Sawdust and Tinsel[/link] (1953), [link=tt0048641]Smiles of a Summer Night[/link] (1955), [link=tt0050976][red]The Seventh Seal[/red][/link] (1957), [link=tt0050986][red]Wild Strawberries[/red][/link] (1957), [link=tt0055499][red]Through a Glass Darkly[/red][/link] (1961), [link=tt0057358][red]Winter Light[/red][/link] (1963), [link=tt0057611][red]The Silence[/red][/link] (1963), [link=tt0060827][red]Persona[/red][/link] (1966), [link=tt0063759][red]Hour of the Wolf[/red][/link] (1968), [link=tt0063611]Shame[/link] (1968), [link=tt0064793]The Passion of Anna[/link] (1969), [link=tt0069467][red]Cries and Whispers[/red][/link] (1972), [link=tt0070644][red]Scenes from a Marriage[/red][/link] (1973), [link=tt0077711]Autumn Sonata[/link] (1978), [link=tt0083922][red]Fanny and Alexander[/red][/link] (1982), [link=tt0299478]Saraband[/link] (2003)",Ingmar Bergman,Persona,1918-07-14
13,nm0000485,2010-12-17,2012-04-09,"[b]Recommended Viewing:[/b] [link=tt0012494]Destiny[/link] (1921), [link=tt0013086]Dr. Mabuse: The Gambler[/link] (1922), [link=tt0015175]Die Nibelungen[/link] (1924), [link=tt0017136][red]Metropolis[/red][/link] (1927), [link=tt0019415]Spione[/link] (1928), [link=tt0022100][red]M[/red][/link] (1931), [link=tt0023563]The Testament of Dr. Mabuse[/link] (1933), [link=tt0027652]Fury[/link] (1936), [link=tt0029808]You Only Live Once[/link] (1937), [link=tt0037075]Ministry of Fear[/link] (1944), [link=tt0037469]The Woman in the Window[/link] (1944), [link=tt0038057]Scarlet Street[/link] (1945), [link=tt0040766]Secret Beyond the Door[/link] (1948), [link=tt0042579]House by the River[/link] (1950), [link=tt0045070]Rancho Notorious[/link] (1952), [link=tt0044502][red]Clash by Night[/red][/link] (1952), [link=tt0045564]The Blue Gardenia[/link] (1953), [link=tt0045555][red]The Big Heat[/red][/link] (1953), [link=tt0047101]Human Desire[/link] (1954), [link=tt0048387]Moonfleet[/link] (1955), [link=tt0049949]While the City Sleeps[/link] (1956), [link=tt0049006]Beyond a Reasonable Doubt[/link] (1956), [link=tt0052295]The Tiger of Eshnapur[/link] (1958), [link=tt0052924]The Indian Tomb[/link] (1958)",Fritz Lang,Le mépris,1890-12-05
14,nm0001023,2010-10-12,2012-08-09,"[b]Recommended Viewing:[/b] [link=tt0053270][red]Shadows[/red][/link] (1959), [link=tt0062952][red]Faces[/red][/link] (1968), [link=tt0065867][red]Husbands[/red][/link] (1970), [link=tt0067433]Minnie and Moskowitz[/link] (1971), [link=tt0072417][red]A Woman Under the Influence[/red][/link] (1974), [link=tt0074749][red]The Killing of a Chinese Bookie[/red][/link] (1976), [link=tt0079672]Opening Night[/link] (1977), [link=tt0080798]Gloria[/link] (1980), [link=tt0087644]Love Streams[/link] (1984)",John Cassavetes,Rosemary's Baby,1929-12-09
15,nm0000033,2010-12-17,2012-04-09,"[b]Recommended Viewing:[/b] [link=tt0017075]The Lodger[/link] (1926), [link=tt0025452]The Man Who Knew Too Much[/link] (1934), [link=tt0026029]The 39 Steps[/link] (1935), [link=tt0028212]Sabotage[/link] (1936), [link=tt0030341]The Lady Vanishes[/link] (1938), [link=tt0032976][red]Rebecca[/red][/link] (1940), [link=tt0032484]Foreign Correspondent[/link] (1940), [link=tt0036342][red]Shadow of a Doubt[/red][/link] (1943), [link=tt0037017]Lifeboat[/link] (1944), [link=tt0038109]Spellbound[/link] (1945), [link=tt0038787][red]Notorious[/red][/link] (1946), [link=tt0040746][red]Rope[/red][/link] (1948), [link=tt0044079]Strangers on a Train[/link] (1951), [link=tt0046912][red]Dial M for Murder[/red][/link] (1954), [link=tt0047396][red]Rear Window[/red][/link] (1954), [link=tt0048728]To Catch a Thief[/link] (1955), [link=tt0049470]The Man Who Knew Too Much[/link] (1956), [link=tt0051207]The Wrong Man[/link] (1956), [link=tt0052357][red]Vertigo[/red][/link] (1958), [link=tt0053125][red]North by Northwest[/red][/link] (1959), [link=tt0054215][red]Psycho[/red][/link] (1960), [link=tt0056869][red]The Birds[/red][/link] (1963), [link=tt0058329][red]Marnie[/red][/link] (1964), [link=tt0068611]Frenzy[/link] (1972)",Alfred Hitchcock,Psycho,1899-08-13
16,nm0000122,2010-12-17,2012-07-31,"[b]Recommended Viewing:[/b] [link=tt0007880]Easy Street[/link] (1917), [link=tt0008133]The Immigrant[/link] (1917), [link=tt0009611]Shoulder Arms[/link] (1918), [link=tt0012349][red]The Kid[/red][/link] (1921), [link=tt0014358]The Pilgrim[/link] (1923), [link=tt0014624]A Woman of Paris[/link] (1923), [link=tt0015864][red]The Gold Rush[/red][/link] (1925), [link=tt0018773][red]The Circus[/red][/link] (1928), [link=tt0021749][red]City Lights[/red][/link] (1931), [link=tt0027977][red]Modern Times[/red][/link] (1936), [link=tt0032553][red]The Great Dictator[/red][/link] (1940), [link=tt0039631][red]Monsieur Verdoux[/red][/link] (1947), [link=tt0044837][red]Limelight[/red][/link] (1952)",Charles Chaplin,The Great Dictator,1889-04-16
17,nm0523932,2010-12-17,2012-07-05,"[b]Recommended Viewing:[/b] [link=tt0009893]The Oyster Princess[/link] (1919), [link=tt0015119]The Marriage Circle[/link] (1924), [link=tt0016004]Lady Windermere's Fan[/link] (1925), [link=tt0018451]The Student Prince in Old Heidelberg[/link] (1927), [link=tt0022074]The Smiling Lieutenant[/link] (1931), [link=tt0022725]Broken Lullaby[/link] (1932), [link=tt0023303]One Hour with You[/link] (1932), [link=tt0023622][red]Trouble in Paradise[/red][/link] (1932), [link=tt0023940][red]Design for Living[/red][/link] (1933), [link=tt0025493]The Merry Widow[/link] (1934), [link=tt0028575]Angel[/link] (1937), [link=tt0031725][red]Ninotchka[/red][/link] (1939), [link=tt0033045][red]The Shop Around the Corner[/red][/link] (1940), [link=tt0035446][red]To Be or Not to Be[/red][/link] (1942), [link=tt0035979][red]Heaven Can Wait[/red][/link] (1943)",Ernst Lubitsch,To Be or Not to Be,1892-01-29
18,nm0000217,2011-02-24,2012-04-09,"[b]Recommended Viewing:[/b] [link=tt0070379][red]Mean Streets[/red][/link] (1973), [link=tt0075314][red]Taxi Driver[/red][/link] (1976), [link=tt0076451][red]New York, New York[/red][/link] (1977), [link=tt0077838]The Last Waltz[/link] (1978), [link=tt0081398][red]Raging Bull[/red][/link] (1980), [link=tt0085794][red]The King of Comedy[/red][/link] (1983), [link=tt0088680]After Hours[/link] (1985), [link=tt0095497][red]The Last Temptation of Christ[/red][/link] (1988), [link=tt0099685][red]Goodfellas[/red][/link] (1990), [link=tt0101540]Cape Fear[/link] (1991), [link=tt0106226]The Age of Innocence[/link] (1993), [link=tt0112641]Casino[/link] (1995), [link=tt0119485][red]Kundun[/red][/link] (1997), [link=tt0173772]My Voyage to Italy[/link] (1999), [link=tt0163988]Bringing Out the Dead[/link] (1999), [link=tt0338751]The Aviator[/link] (2004), [link=tt0808245]A Letter to Elia[/link] (2010) [co-directed by [link=nm2095742]Kent Jones[/link]]",Martin Scorsese,Taxi Driver,1942-11-17
19,nm0719756,2011-01-21,2012-05-21,"[b]Recommended Viewing:[/b] [link=tt0017744]Charleston Parade[/link] (1927), [link=tt0021739]La Chienne[/link] (1931), [link=tt0022718][red]Boudu Saved from Drowning[/red][/link] (1932), [link=tt0025898]Toni[/link] (1935), [link=tt0028445][red]Partie de campagne[/red][/link] (1936), [link=tt0027478]The Crime of Monsieur Lange[/link] (1936), [link=tt0028950][red]La Grande Illusion[/red][/link] (1937), [link=tt0029957][red]La Bête Humaine[/red][/link] (1938), [link=tt0031885][red]The Rules of the Game[/red][/link] (1939), [link=tt0036431]This Land Is Mine[/link] (1943), [link=tt0038107]The Southerner[/link] (1945), [link=tt0040000]The Woman on the Beach[/link] (1947), [link=tt0043972][red]The River[/red][/link] (1951), [link=tt0044487]The Golden Coach[/link] (1952), [link=tt0046998]French Cancan[/link] (1954), [link=tt0053348] The Testament of Dr. Cordelier[/link] (1959), [link=tt0055827]The Elusive Corporal[/link] (1962)",Jean Renoir,La règle du jeu,1894-09-15
20,nm0000975,2011-01-22,2012-08-03,"[b]Recommended Viewing:[/b] [link=tt0035636]Les Anges du peche[/link] (1943), [link=tt0037630]Les Dames du Bois de Boulogne[/link] (1945), [link=tt0042619]Diary of a Country Priest[/link] (1951), [link=tt0049902][red]A Man Escaped[/red][/link] (1956), [link=tt0053168][red]Pickpocket[/red][/link] (1959), [link=tt0059616]The Trial of Joan of Arc[/link] (1962), [link=tt0060138][red]Au hasard Balthazar[/red][/link] (1966), [link=tt0061996]Mouchette[/link] (1967), [link=tt0065152]Une Femme Douce[/link] (1969), [link=tt0067641]Four Nights and a Dreamer[/link] (1971), [link=tt0071737]Lancelot du Lac[/link] (1974), [link=tt0075938]The Devil Probably[/link] (1977), [link=tt0085180][red]L'Argent[/red][/link] (1983)",Robert Bresson,Journal d'un curé de campagne,1901-09-25
21,nm0000774,2010-12-17,2012-06-18,"[b]Recommended Viewing:[/b] [link=tt0042355]Story of a Love Affair[/link] (1950), [link=tt0046313]The Lady Without Camelias[/link] (1953), [link=tt0050458]Il Grido[/link] (1957), [link=tt0053619][red]L'Avventura[/red][/link] (1960), [link=tt0054130]La Notte[/link] (1961), [link=tt0056736][red]L'Eclisse[/red][/link] (1962), [link=tt0058003][red]Red Desert[/red][/link] (1964), [link=tt0060176][red]Blow-Up[/red][/link] (1966), [link=tt0066601]Zabriskie Point[/link] (1970), [link=tt0073580][red]The Passenger[/red][/link] (1975), [link=tt0084116]Identification of a Woman[/link] (1982)",Michelangelo Antonioni,L'avventura,1912-09-29
22,nm0000406,2010-12-17,2012-04-09,"[b]Recommended Viewing:[/b] [link=tt0017463]3 Bad Men[/link] (1924), [link=tt0026529]The Informer[/link] (1935), [link=tt0028141]The Prisoner of Shark Island[/link] (1936), [link=tt0031971][red]Stagecoach[/red][/link] (1939), [link=tt0032155]Young Mr. Lincoln[/link] (1939), [link=tt0032551][red]The Grapes of Wrath[/red][/link] (1940), [link=tt0032728]The Long Voyage Home[/link] (1940), [link=tt0034297]Tobacco Road[/link] (1941), [link=tt0033729]How Green Was My Valley[/link] (1941), [link=tt0038160]They Were Expendable[/link] (1945), [link=tt0038762][red]My Darling Clementine[/red][/link] (1946), [link=tt0039402]The Fugitive[/link] (1947), [link=tt0040369]Fort Apache[/link] (1948), [link=tt0040064]3 Godfathers[/link] (1948), [link=tt0041866]She Wore a Yellow Ribbon[/link] (1949), [link=tt0043129]When Willie Comes Marching Home[/link] (1950), [link=tt0043117]Wagon Master[/link] (1950), [link=tt0042895]Rio Grande[/link] (1950), [link=tt0045061][red]The Quiet Man[/red][/link] (1952), [link=tt0046384]The Sun Shines Bright[/link] (1953), [link=tt0049730][red]The Searchers[/red][/link] (1956), [link=tt0051198]The Wings of Eagles[/link] (1957), [link=tt0051845]The Last Hurrah[/link] (1958), [link=tt0056217][red]The Man Who Shot Liberty Valance[/red][/link] (1962), [link=tt0060050]Seven Women[/link] (1966)",John Ford,The Quiet Man,1894-02-01
23,nm0001328,2010-12-17,2012-07-27,"[b]Recommended Viewing:[/b] [link=tt0023427]Scarface[/link] (1932), [link=tt0026191]Ceiling Zero[/link] (1936), [link=tt0031762][red]Only Angels Have Wings[/red][/link] (1939), [link=tt0032599][red]His Girl Friday[/red][/link] (1940), [link=tt0033373]Ball of Fire[/link] (1941), [link=tt0037382][red]To Have and Have Not[/red][/link] (1944), [link=tt0038355][red]The Big Sleep[/red][/link] (1946), [link=tt0040724][red]Red River[/red][/link] (1948), [link=tt0041498]I Was a Male War Bride[/link] (1949), [link=tt0044121]The Thing from Another World[/link] (1951) [co-directed by [link=nm0638528]Christian Nyby[/link]], [link=tt0044916]Monkey Business[/link] (1952), [link=tt0045810]Gentlemen Prefer Blondes[/link] (1953), [link=tt0053221][red]Rio Bravo[/red][/link] (1959)",Howard Hawks,Rio Bravo,1896-05-30
24,nm0000076,2011-02-18,2012-07-07,"[b]Recommended Viewing:[/b] [link=tt0053198][red]The 400 Blows[/red][/link] (1959), [link=tt0054389][red]Shoot the Piano Player[/red][/link] (1960), [link=tt0055032][red]Jules et Jim[/red][/link] (1962), [link=tt0058458][red]The Soft Skin[/red][/link] (1964), [link=tt0061955]The Bride Wore Black[/link] (1968), [link=tt0062695]Stolen Kisses[/link] (1968), [link=tt0064285]The Wild Child[/link] (1970), [link=tt0065651]Bed & Board[/link] (1970), [link=tt0066989]Two English Girls[/link] (1971), [link=tt0070460][red]Day for Night[/red][/link] (1973), [link=tt0082370]The Woman Next Door[/link] (1981), [link=tt0086551]Confidentially Yours[/link] (1983)",François Truffaut,La nuit américaine,1932-02-06
25,nm0000036,2011-02-17,2012-07-10,"[b]Recommended Viewing:[/b] [link=tt0014341][red]Our Hospitality[/red][/link] (1923) [co-directed by [link=nm0090007]John G. Blystone[/link]], [link=tt0015324][red]Sherlock Jr.[/red][/link] (1924), [link=tt0015163]The Navigator[/link] (1924) [co-directed by [link=nm0187981]Donald Crisp[/link]], [link=tt0016332]Seven Chances[/link] (1925), [link=tt0017925][red]The General[/red][/link] (1926) [co-directed by [link=nm0115669]Clyde Bruckman[/link]], [link=tt0019421]Steamboat Bill, Jr.[/link] (1928) [co-directed by [link=nm0718469]Charles Reisner[/link]], [link=tt0018742][red]The Cameraman[/red][/link] (1928) [co-directed by [link=nm0781292]Edward Sedgwick[/link]]",Buster Keaton,The General,1895-10-04
26,nm0003836,2010-12-17,2012-07-26,"and [link=nm0696247]EMERIC PRESSBURGER[/link]

[b]""The Archers""[/b]

[b]Recommended Viewing:[/b] [link=tt0036112][red]The Life and Death of Colonel Blimp[/red][/link] (1943), [link=tt0036695]A Canterbury Tale[/link] (1944), [link=tt0037800][red]I Know Where I'm Going![/red][/link] (1945), [link=tt0038733]A Matter of Life and Death[/link] (1946), [link=tt0039192][red]Black Narcissus[/red][/link] (1947), [link=tt0040725][red]The Red Shoes[/red][/link] (1948), [link=tt0041886]The Small Back Room[/link] (1949), [link=tt0042513]Gone to Earth[/link] (1950), [link=tt0044103]The Tales of Hoffman[/link] (1951)",Michael Powell,The Red Shoes,1905-09-30
27,nm0000338,2011-02-18,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0068646][red]The Godfather[/red][/link] (1972), [link=tt0071360][red]The Conversation[/red][/link] (1974), [link=tt0071562][red]The Godfather: Part II[/red][/link] (1974), [link=tt0078788][red]Apocalypse Now[/red][/link] (1979), [link=tt0086216]Rumble Fish[/link] (1983)",Francis Ford Coppola,Apocalypse Now,1939-04-07
28,nm0712947,2011-03-18,2012-02-02,"[b]Recommended Viewing:[/b] [link=tt0040872]They Live by Night[/link] (1948), [link=tt0042593][red]In a Lonely Place[/red][/link] (1950), [link=tt0042275]Born to Be Bad[/link] (1950), [link=tt0043879]On Dangerous Ground[/link] (1951), [link=tt0044860]The Lusty Men[/link] (1952), [link=tt0047136]Johnny Guitar[/link] (1954), [link=tt0048570]Run for Cover[/link] (1955), [link=tt0048545][red]Rebel Without a Cause[/red][/link] (1955), [link=tt0049010][red]Bigger Than Life[/red][/link] (1956), [link=tt0050126]Bitter Victory[/link] (1957), [link=tt0052050]Party Girl[/link] (1958)",Nicholas Ray,Rebel Without a Cause,1911-08-07
29,nm0003226,2011-04-24,2012-07-30,"[b]Recommended Viewing:[/b] [link=tt0028021]Osaka Elegy[/link] (1936), [link=tt0027672]Sisters of the Gion[/link] (1936), [link=tt0032156]The Story of the Last Chrysanthemums[/link] (1939), [link=tt0033654]The 47 Ronin[/link] (1941), [link=tt0039074]Utamaro and His Five Women[/link] (1946), [link=tt0040980]Women of the Night[/link] (1948), [link=tt0043892]Miss Oyu[/link] (1951), [link=tt0045112]The Life of Oharu[/link] (1952), [link=tt0046478][red]Ugetsu monogatari[/red][/link] (1953), [link=tt0047445][red]Sansho the Bailiff[/red][/link] (1954), [link=tt0047638]Uwasa no onna[/link] (1954), [link=tt0046851]Chikamatsu monogatari[/link] (1954), [link=tt0048820]Princess Yang Kwei Fei[/link] (1955), [link=tt0048933]Street of Shame[/link] (1956)",Kenji Mizoguchi,Ugetsu monogatari,1898-05-16
30,nm0897118,2011-04-09,2012-01-11,"[b]Recommended Viewing:[/b] [link=tt0021576][red]À propos de Nice[/red][/link] (1930), [link=tt0022462]Taris[/link] (1931), [link=tt0024803][red]Zero for Conduct[/red][/link] (1933), [link=tt0024844][red]L'Atalante[/red][/link] (1934)",Jean Vigo,Zéro de conduite: Jeunes diables au collège,1905-04-26
31,nm0001202,2011-03-22,2012-06-25,"[b]Recommended Viewing:[/b] [link=tt0064588]Love is Colder Than Death[/link] (1969), [link=tt0064536]Katzelmacher[/link] (1969), [link=tt0065808]Gods of the Plague[/link] (1969), [link=tt0066546]Why Does Herr R. Run Amok?[/link] (1970) [co-directed by [link=nm0271831]Michael Fengler[/link]], [link=tt0065391]The American Soldier[/link] (1970), [link=tt0067227]The Merchant of Four Seasons[/link] (1971), [link=tt0068278[The Bitter Tears of Petra von Kant[/link] (1972), [link=tt0071141][red]Ali: Fear Eats the Soul[/red][/link] (1974), [link=tt0070374]Martha[/link] (1974), [link=tt0072976]Fox and His Friends[/link] (1975), [link=tt0072648]Fear of Fear[/link] (1975), [link=tt0074664]I Only Want You to Love Me[/link] (1976), [link=tt0077729]In a Year with 13 Moons[/link] (1978), [link=tt0079095]The Marriage of Maria Braun[/link] (1978), [link=tt0077421]Despair[/link] (1978), [link=tt0080196][red]Berlin Alexanderplatz[/red][/link] (1980), [link=tt0082671]Lola[/link] (1981), [link=tt0084654]Veronika Voss[/link] (1982)",Rainer Werner Fassbinder,Faustrecht der Freiheit,1945-05-31
