Position,Const,Created,Modified,Description,Name,Known For,Birth Date
59,nm0721073,2011-11-08,2011-11-08,,Fernando Rey,Tristana,1917-09-20
60,nm0002233,2011-11-08,2011-11-08,,Erich von Stroheim,Sunset Blvd.,1885-09-22
61,nm0000858,2011-11-08,2011-11-08,,John Barrymore,Twentieth Century,1882-02-15
62,nm0000138,2011-11-08,2011-11-08,,Leonardo DiCaprio,Inception,1974-11-11
63,nm0000071,2011-11-08,2011-11-08,,James Stewart,Anatomy of a Murder,1908-05-20
64,nm0000195,2011-11-08,2011-11-08,,Bill Murray,Lost in Translation,1950-09-21
65,nm0000172,2011-11-08,2011-11-08,,Harvey Keitel,Reservoir Dogs,1939-05-13
66,nm0704719,2011-11-08,2011-11-08,,Francisco Rabal,Átame!,1926-03-08
67,nm0000564,2011-11-08,2011-11-08,,Peter O'Toole,Lawrence of Arabia,1932-08-02
68,nm0000432,2011-11-08,2011-11-08,,Gene Hackman,The French Connection,1930-01-30
69,nm0000437,2013-03-11,2013-03-11,,Woody Harrelson,True Detective,1961-07-23
70,nm0001768,2013-03-11,2013-03-11,,Rod Steiger,In the Heat of the Night,1925-04-14
71,nm0000018,2013-03-11,2013-03-11,,Kirk Douglas,Spartacus,1916-12-09
72,nm0000809,2013-03-11,2013-03-11,,Daniel Auteuil,Caché,1950-01-24
73,nm0891998,2011-01-02,2011-01-02,,Conrad Veidt,Casablanca,1893-01-22
74,nm0000199,2013-03-11,2013-03-11,,Al Pacino,Serpico,1940-04-25
75,nm0833448,2013-03-11,2013-03-11,,Lee Strasberg,The Godfather Part II,1901-11-17
76,nm0731772,2015-09-15,2015-09-15,,Cliff Robertson,Spider-Man,1923-09-09
77,nm0000110,2011-11-08,2011-11-08,,Kenneth Branagh,Henry V,1960-12-10
78,nm0000654,2013-03-11,2013-03-11,,Terence Stamp,The Limey,1938-07-22
79,nm0000034,2013-04-05,2013-04-05,,William Holden,Stalag 17,1918-04-17
80,nm0105482,2011-11-08,2011-11-08,,Pierre Brasseur,Les enfants du paradis,1905-12-22
81,nm0001845,2013-03-11,2013-03-11,,Forest Whitaker,The Last King of Scotland,1961-07-15
82,nm0000060,2013-04-05,2013-04-05,,Gregory Peck,To Kill a Mockingbird,1916-04-05
83,nm0001703,2013-04-05,2013-04-05,,Maximilian Schell,Judgment at Nuremberg,1930-12-08
84,nm0000051,2013-04-05,2013-04-05,,James Mason,Lolita,1909-05-15
85,nm1519666,2016-05-30,2016-05-30,,Eddie Redmayne,Les Misérables,1982-01-06
86,nm0001364,2011-10-24,2011-10-24,,Bob Hoskins,The Long Good Friday,1942-10-26
87,nm0000527,2013-04-05,2013-04-05,,Walter Matthau,The Odd Couple,1920-10-01
88,nm0001557,2013-04-05,2013-04-05,,Viggo Mortensen,The Lord of the Rings: The Return of the King,1958-10-20
89,nm0362766,2016-06-06,2016-06-06,,Tom Hardy,Inception,1977-09-15
90,nm0000458,2013-04-05,2013-04-05,,William Hurt,A History of Violence,1950-03-20
91,nm0000203,2016-06-03,2016-06-03,,River Phoenix,My Own Private Idaho,1970-08-23
92,nm0000128,2013-04-05,2013-04-05,,Russell Crowe,Les Misérables,1964-04-07
93,nm0000015,2013-04-05,2013-04-05,,James Dean,East of Eden,1931-02-08
94,nm0001369,2013-04-05,2013-04-05,,Rock Hudson,Giant,1925-11-17
95,nm0001695,2013-04-05,2013-04-05,,George Sanders,All About Eve,1906-07-03
96,nm0000022,2013-04-05,2013-04-05,,Clark Gable,It Happened One Night,1901-02-01
97,nm0000147,2016-06-06,2016-06-06,,Colin Firth,A Single Man,1960-09-10
98,nm0001806,2013-04-05,2013-04-05,,John Turturro,Barton Fink,1957-02-28
99,nm0000354,2013-04-05,2013-04-05,,Matt Damon,Good Will Hunting,1970-10-08
100,nm0000438,2013-04-05,2013-04-05,,Ed Harris,Appaloosa,1950-11-28
101,nm0003540,2015-09-15,2015-09-15,,Nikolay Cherkasov,Aleksandr Nevskiy,1903-07-27
102,nm0000249,2013-04-05,2013-04-05,,James Woods,Vampires,1947-04-18
103,nm0000198,2016-12-18,2016-12-18,,Gary Oldman,The Dark Knight,1958-03-21
104,nm0001958,2016-06-06,2016-06-06,,Dirk Bogarde,The Servant,1921-03-28
105,nm0000336,2013-04-05,2013-04-05,,James Coburn,Charade,1928-08-31
106,nm0000457,2013-04-05,2013-04-05,,John Hurt,Nineteen Eighty-Four,1940-01-22
107,nm0876300,2013-06-01,2013-06-01,,Ulrich Tukur,Das Leben der Anderen,1957-07-29
108,nm0001258,2016-05-30,2016-05-30,,James Garner,The Notebook,1928-04-07
109,nm0001229,2016-06-03,2016-06-03,,Glenn Ford,Gilda,1916-05-01
110,nm0000125,2015-10-02,2015-10-02,,Sean Connery,Dr. No,1930-08-25
111,nm0681566,2013-06-06,2013-06-06,,Michel Piccoli,Le mépris,1925-12-27
112,nm0000052,2013-06-06,2013-06-06,,Marcello Mastroianni,La dolce vita,1924-09-28
113,nm0885203,2013-06-01,2013-06-01,,Raf Vallone,The Italian Job,1916-02-17
114,nm0265155,2015-10-02,2015-10-02,,Antônio Fagundes,Duas Caras,1949-04-18
115,nm0000686,2015-10-02,2015-10-02,,Christopher Walken,The Deer Hunter,1943-03-31
116,nm0000090,2016-05-30,2016-05-30,,Armin Mueller-Stahl,Eastern Promises,1930-12-17
117,nm0001072,2016-01-18,2016-01-18,,Joseph Cotten,The Third Man,1905-05-15
118,nm0004462,2016-01-18,2016-01-18,,Jean-Louis Trintignant,Amour,1930-12-11
119,nm0000078,2015-10-02,2015-10-02,,John Wayne,True Grit,1907-05-26
120,nm0724732,2015-10-02,2015-10-02,,Ralph Richardson,Doctor Zhivago,1902-12-19
121,nm0000846,2015-10-02,2015-10-02,,Ian Bannen,Waking Ned,1928-06-29
122,nm0000131,2013-04-05,2013-04-05,,John Cusack,Grosse Pointe Blank,1966-06-28
123,nm0865575,2015-10-02,2015-10-02,,Ugo Tognazzi,Il fischio al naso,1922-03-23
124,nm0959873,2015-10-02,2015-10-02,,Metin Çekmez,Firar,1945-07-26
125,nm0000377,2015-10-02,2015-10-02,,Richard Dreyfuss,The Goodbye Girl,1947-10-29
126,nm0001626,2015-10-16,2015-10-16,,Christopher Plummer,Beginners,1929-12-13
127,nm0803705,2015-10-16,2015-10-16,,Victor Sjöström,Smultronstället,1879-09-20
128,nm0252472,2015-10-16,2015-10-16,,Gösta Ekman,Faust: Eine deutsche Volkssage,1890-12-28
129,nm0000168,2015-12-11,2015-12-11,,Samuel L. Jackson,Pulp Fiction,1948-12-21
130,nm0799777,2016-01-11,2016-01-11,,J.K. Simmons,Whiplash,1955-01-09
131,nm0000075,2016-01-11,2016-01-11,,Spencer Tracy,Judgment at Nuremberg,1900-04-05
132,nm0793766,2016-01-11,2016-01-11,,Takashi Shimura,Shichinin no samurai,1905-03-12
133,nm0000959,2016-01-11,2016-01-11,,Powers Boothe,Sudden Death,1948-06-01
134,nm0001001,2016-01-11,2016-01-11,,James Caan,The Godfather,1940-03-26
135,nm0470328,2016-01-11,2016-01-11,,Werner Krauss,Das Cabinet des Dr. Caligari,1884-06-23
136,nm0753479,2016-01-11,2016-01-11,,Chishû Ryû,Tôkyô monogatari,1904-05-13
137,nm0002075,2016-01-17,2016-01-17,,Peter Finch,Network,1916-09-28
138,nm0000140,2016-01-17,2016-01-17,,Michael Douglas,Behind the Candelabra,1944-09-25
139,nm0000375,2016-01-11,2016-01-11,,Robert Downey Jr.,Iron Man,1965-04-04
140,nm0001414,2015-10-02,2015-10-02,,Danny Kaye,The Danny Kaye Show,1911-01-18
141,nm0785664,2016-01-17,2016-01-17,,Michel Serrault,La Cage aux folles,1928-01-24
142,nm0000453,2015-10-16,2015-10-16,,Ian Holm,The Lord of the Rings: The Return of the King,1931-09-12
143,nm0005023,2016-01-11,2016-01-11,,Djimon Hounsou,Blood Diamond,1964-04-24
144,nm0679959,2016-01-17,2016-01-17,,Gérard Philipe,Les amants de Montparnasse,1922-12-04
145,nm0004464,2016-01-18,2016-01-18,,Heinz Rühmann,Ein Mann geht durch die Wand,1902-03-07
146,nm0000964,2016-01-18,2016-01-18,,Charles Boyer,Gaslight,1899-08-28
147,nm0000026,2016-01-11,2016-01-11,,Cary Grant,Charade,1904-01-18
148,nm0000126,2016-01-21,2016-01-21,,Kevin Costner,The Postman,1955-01-18
149,nm0001970,2016-01-18,2016-01-18,,Klaus Maria Brandauer,Out of Africa,1943-06-22
150,nm0172903,2016-05-26,2016-05-26,,Ronald Colman,Random Harvest,1891-02-09
151,nm0000020,2016-01-17,2016-01-17,,Henry Fonda,12 Angry Men,1905-05-16
152,nm0000313,2016-05-30,2016-05-30,,Jeff Bridges,The Big Lebowski,1949-12-04
153,nm0320988,2016-01-18,2016-01-18,,Massimo Girotti,Ultimo tango a Parigi,1918-05-18
154,nm0430746,2016-01-18,2016-01-18,at Tarkovski's,Erland Josephson,Offret,1923-06-15
155,nm0609944,2016-05-22,2016-05-22,,Wagner Moura,Tropa de Elite,1976-06-27
156,nm0566948,2016-01-18,2016-01-18,,Joel McCrea,Sullivan's Travels,1905-11-05
157,nm0000450,2016-05-22,2016-05-22,,Philip Seymour Hoffman,The Master,1967-07-23
158,nm0001745,2016-05-22,2016-05-22,,Stellan Skarsgård,Good Will Hunting,1951-06-13
159,nm0001128,2016-01-18,2016-01-18,,Alain Delon,Le Samouraï,1935-11-08
160,nm0001637,2016-05-22,2016-05-22,,Vincent Price,The Abominable Dr. Phibes,1911-05-27
161,nm0001088,2016-05-22,2016-05-22,,Peter Cushing,Star Wars,1913-05-26
162,nm0000489,2016-05-22,2016-05-22,,Christopher Lee,Star Wars: Episode II - Attack of the Clones,1922-05-27
163,nm0005132,2016-05-22,2016-05-22,,Heath Ledger,Brokeback Mountain,1979-04-04
164,nm0001659,2016-05-22,2016-05-22,,Christopher Reeve,Superman,1952-09-25
165,nm0186505,2016-05-26,2016-05-26,,Bryan Cranston,Breaking Bad,1956-03-07
166,nm0001322,2016-05-30,2016-05-30,,Rex Harrison,My Fair Lady,1908-03-05
167,nm0006890,2016-05-26,2016-05-26,,Paul Scofield,A Man for All Seasons,1922-01-21
168,nm0117709,2016-05-26,2016-05-26,,Daniel Brühl,Rush,1978-06-16
169,nm1165110,2016-05-26,2016-05-26,,Chris Hemsworth,Thor: Ragnarok,1983-08-11
170,nm0232196,2016-05-26,2016-05-26,,Robert Donat,The 39 Steps,1905-03-18
171,nm0001099,2020-08-03,2020-08-03,,Jeff Daniels,The Squid and the Whale,1955-02-19
172,nm0300064,2016-05-26,2016-05-26,,Jean Gabin,La grande illusion,1904-05-17
173,nm0544786,2016-05-26,2016-05-26,,Jean Marais,La Belle et la Bête,1913-12-11
174,nm0001050,2016-05-26,2016-05-26,,Montgomery Clift,From Here to Eternity,1920-10-17
175,nm1055413,2016-05-26,2016-05-26,,Michael Fassbender,Shame,1977-04-02
176,nm0000353,2016-05-26,2016-05-26,,Willem Dafoe,Spider-Man,1955-07-22
177,nm0000297,2016-05-26,2016-05-26,,Tom Berenger,Inception,1949-05-31
178,nm0294382,2016-07-06,2016-07-06,,Pierre Fresnay,La grande illusion,1897-04-04
179,nm0000288,2020-08-03,2020-08-03,,Christian Bale,The Dark Knight,1974-01-30
180,nm0001618,2021-12-10,2021-12-10,,Joaquin Phoenix,Walk the Line,1974-10-28
181,nm0000685,2016-05-30,2016-05-30,,Jon Voight,Midnight Cowboy,1938-12-29
182,nm0316284,2016-05-26,2016-05-26,,Giancarlo Giannini,Quantum of Solace,1942-08-01
183,nm0599910,2016-05-26,2016-05-26,,Robert Montgomery,Night Must Fall,1904-05-21
184,nm0000367,2016-05-26,2016-05-26,,Gérard Depardieu,Cyrano de Bergerac,1948-12-27
185,nm0000474,2021-12-10,2021-12-10,,Michael Keaton,Birdman or (The Unexpected Virtue of Ignorance),1951-09-05
186,nm0000763,2016-05-26,2016-05-26,,Dana Andrews,Laura,1909-01-01
187,nm0001570,2016-05-26,2016-05-26,,Edward Norton,Fight Club,1969-08-18
188,nm0001428,2016-05-26,2016-05-26,,Klaus Kinski,Nosferatu: Phantom der Nacht,1926-10-18
189,nm0000885,2016-05-26,2016-05-26,,Ned Beatty,Network,1937-07-06
190,nm0085038,2016-05-26,2016-05-26,,Gunnar Björnstrand,Det sjunde inseglet,1909-11-13
191,nm0000859,2016-05-26,2016-05-26,,Lionel Barrymore,Key Largo,1878-04-28
192,nm0000918,2016-05-30,2016-05-30,,Helmut Berger,The Godfather Part III,1944-05-29
193,nm0000719,2016-05-30,2016-05-30,,F. Murray Abraham,The Grand Budapest Hotel,1939-10-24
194,nm0001289,2016-05-30,2016-05-30,,Stewart Granger,King Solomon's Mines,1913-05-06
195,nm0000009,2016-05-30,2016-05-30,,Richard Burton,Who's Afraid of Virginia Woolf?,1925-11-10
196,nm0000257,2016-05-26,2016-05-26,,Alan Alda,M*A*S*H,1936-01-28
197,nm0775180,2016-05-30,2016-05-30,,Max Schreck,"Nosferatu, eine Symphonie des Grauens",1879-09-06
198,nm0000053,2016-05-30,2016-05-30,,Robert Mitchum,Out of the Past,1917-08-06
199,nm0000129,2016-05-30,2016-05-30,,Tom Cruise,Top Gun,1962-07-03
200,nm0000011,2016-05-30,2016-05-30,,Gary Cooper,High Noon,1901-05-07
